client_id,Delinquent90
75000,0.07
75001,0.58
75002,0.0
75003,0.15
75004,0.0
75005,0.03
75006,0.0
75007,0.01
75008,0.0
75009,0.09
75010,0.16
75011,0.02
75012,0.07
75013,0.01
75014,0.37
75015,0.29
75016,0.13
75017,0.07
75018,0.0
75019,0.11
75020,0.03
75021,0.13
75022,0.11
75023,0.0
75024,0.06
75025,0.15
75026,0.0
75027,0.0
75028,0.03
75029,0.01
75030,0.0
75031,0.0
75032,0.05
75033,0.08
75034,0.0
75035,0.0
75036,0.01
75037,0.0
75038,0.0
75039,0.09
75040,0.01
75041,0.0
75042,0.0
75043,0.01
75044,0.01
75045,0.08
75046,0.01
75047,0.02
75048,0.22
75049,0.2
75050,0.0
75051,0.0
75052,0.25
75053,0.0
75054,0.0
75055,0.02
75056,0.0
75057,0.07
75058,0.01
75059,0.1
75060,0.19
75061,0.01
75062,0.09
75063,0.0
75064,0.06
75065,0.0
75066,0.02
75067,0.02
75068,0.06
75069,0.01
75070,0.02
75071,0.05
75072,0.06
75073,0.02
75074,0.08
75075,0.03
75076,0.01
75077,0.03
75078,0.12
75079,0.0
75080,0.01
75081,0.27
75082,0.0
75083,0.03
75084,0.0
75085,0.03
75086,0.0
75087,0.0
75088,0.0
75089,0.01
75090,0.0
75091,0.06
75092,0.17
75093,0.02
75094,0.02
75095,0.04
75096,0.01
75097,0.02
75098,0.0
75099,0.1
75100,0.08
75101,0.01
75102,0.02
75103,0.03
75104,0.14
75105,0.12
75106,0.02
75107,0.04
75108,0.02
75109,0.01
75110,0.0
75111,0.07
75112,0.0
75113,0.0
75114,0.0
75115,0.04
75116,0.0
75117,0.0
75118,0.0
75119,0.4
75120,0.0
75121,0.1
75122,0.01
75123,0.19
75124,0.0
75125,0.02
75126,0.0
75127,0.01
75128,0.24
75129,0.05
75130,0.13
75131,0.02
75132,0.32
75133,0.0
75134,0.22
75135,0.04
75136,0.15
75137,0.0
75138,0.0
75139,0.07
75140,0.0
75141,0.0
75142,0.05
75143,0.0
75144,0.07
75145,0.52
75146,0.11
75147,0.0
75148,0.09
75149,0.04
75150,0.4
75151,0.01
75152,0.12
75153,0.03
75154,0.0
75155,0.0
75156,0.01
75157,0.0
75158,0.0
75159,0.01
75160,0.03
75161,0.04
75162,0.36
75163,0.02
75164,0.0
75165,0.0
75166,0.07
75167,0.09
75168,0.03
75169,0.08
75170,0.17
75171,0.02
75172,0.05
75173,0.0
75174,0.0
75175,0.01
75176,0.0
75177,0.0
75178,0.0
75179,0.04
75180,0.0
75181,0.09
75182,0.08
75183,0.0
75184,0.44
75185,0.02
75186,0.04
75187,0.0
75188,0.06
75189,0.0
75190,0.08
75191,0.05
75192,0.03
75193,0.0
75194,0.37
75195,0.0
75196,0.07
75197,0.04
75198,0.24
75199,0.01
75200,0.02
75201,0.35
75202,0.11
75203,0.0
75204,0.03
75205,0.05
75206,0.01
75207,0.2
75208,0.01
75209,0.02
75210,0.01
75211,0.07
75212,0.12
75213,0.06
75214,0.08
75215,0.02
75216,0.01
75217,0.23
75218,0.02
75219,0.03
75220,0.02
75221,0.02
75222,0.01
75223,0.03
75224,0.06
75225,0.0
75226,0.0
75227,0.01
75228,0.07
75229,0.09
75230,0.08
75231,0.0
75232,0.17
75233,0.0
75234,0.04
75235,0.0
75236,0.03
75237,0.11
75238,0.05
75239,0.0
75240,0.0
75241,0.01
75242,0.33
75243,0.0
75244,0.0
75245,0.24
75246,0.02
75247,0.0
75248,0.01
75249,0.0
75250,0.04
75251,0.0
75252,0.02
75253,0.01
75254,0.02
75255,0.0
75256,0.01
75257,0.15
75258,0.03
75259,0.19
75260,0.09
75261,0.06
75262,0.03
75263,0.0
75264,0.0
75265,0.03
75266,0.0
75267,0.04
75268,0.0
75269,0.0
75270,0.01
75271,0.01
75272,0.25
75273,0.0
75274,0.16
75275,0.0
75276,0.02
75277,0.0
75278,0.08
75279,0.0
75280,0.02
75281,0.05
75282,0.0
75283,0.01
75284,0.02
75285,0.04
75286,0.0
75287,0.09
75288,0.06
75289,0.03
75290,0.02
75291,0.0
75292,0.04
75293,0.43
75294,0.03
75295,0.05
75296,0.0
75297,0.0
75298,0.0
75299,0.01
75300,0.09
75301,0.42
75302,0.05
75303,0.0
75304,0.27
75305,0.0
75306,0.0
75307,0.02
75308,0.0
75309,0.05
75310,0.01
75311,0.16
75312,0.02
75313,0.14
75314,0.0
75315,0.0
75316,0.0
75317,0.03
75318,0.16
75319,0.03
75320,0.26
75321,0.02
75322,0.01
75323,0.02
75324,0.01
75325,0.3
75326,0.05
75327,0.26
75328,0.03
75329,0.04
75330,0.01
75331,0.0
75332,0.0
75333,0.15
75334,0.0
75335,0.15
75336,0.0
75337,0.19
75338,0.0
75339,0.02
75340,0.01
75341,0.0
75342,0.0
75343,0.04
75344,0.1
75345,0.0
75346,0.11
75347,0.08
75348,0.0
75349,0.02
75350,0.0
75351,0.0
75352,0.08
75353,0.0
75354,0.3
75355,0.0
75356,0.2
75357,0.09
75358,0.0
75359,0.02
75360,0.0
75361,0.26
75362,0.06
75363,0.01
75364,0.02
75365,0.01
75366,0.0
75367,0.0
75368,0.02
75369,0.31
75370,0.01
75371,0.03
75372,0.01
75373,0.21
75374,0.0
75375,0.02
75376,0.0
75377,0.1
75378,0.01
75379,0.06
75380,0.0
75381,0.02
75382,0.13
75383,0.22
75384,0.0
75385,0.02
75386,0.07
75387,0.12
75388,0.0
75389,0.08
75390,0.0
75391,0.11
75392,0.0
75393,0.09
75394,0.0
75395,0.1
75396,0.15
75397,0.0
75398,0.01
75399,0.03
75400,0.58
75401,0.0
75402,0.01
75403,0.05
75404,0.26
75405,0.21
75406,0.03
75407,0.12
75408,0.03
75409,0.02
75410,0.21
75411,0.09
75412,0.0
75413,0.02
75414,0.05
75415,0.11
75416,0.05
75417,0.08
75418,0.11
75419,0.04
75420,0.06
75421,0.0
75422,0.0
75423,0.14
75424,0.02
75425,0.05
75426,0.11
75427,0.44
75428,0.02
75429,0.0
75430,0.09
75431,0.08
75432,0.03
75433,0.01
75434,0.16
75435,0.0
75436,0.03
75437,0.01
75438,0.07
75439,0.0
75440,0.01
75441,0.01
75442,0.0
75443,0.06
75444,0.0
75445,0.03
75446,0.07
